transaction_id,vendor_name,category,amount,transaction_date,modified_date
1001,Amazon,IT,1250.50,2026-01-05,2026-01-05 10:15:00
1002,Microsoft,SOFTWARE,3500.00,2026-01-06,2026-01-06 11:30:00
1003,Adobe,SOFTWARE,899.99,2026-01-07,2026-01-07 09:20:00
1004,Dell,HARDWARE,4500.00,2026-01-08,2026-01-08 14:45:00
1005,AWS,CLOUD,2750.75,2026-01-09,2026-01-09 16:10:00
1006,Microsoft,CLOUD,4200.00,2026-01-10,2026-01-10 10:40:00
1007,Zoom,SOFTWARE,650.00,2026-01-11,2026-01-11 12:25:00
1008,Dell,HARDWARE,3200.00,2026-01-12,2026-01-12 15:30:00
1009,Amazon,CLOUD,1800.00,2026-01-13,2026-01-13 08:55:00
1010,Adobe,SOFTWARE,1200.00,2026-01-14,2026-01-14 13:15:00
